name,grade,rarity,team,year,month,position,battingHand,throwHand,pitchingType,power,contact,gapPower,homeRunPower,plateDiscipline,strikeoutAvoidance,stealing,baseRunning,defense,enhancedSkill,skill,synergy,multiPosition
이블렉,DGN,6,kiwoom,,0,"[""CF"",""RF"",""LF""]",L,R,O,3150,631,512,483,437,551,32,82,422,위엄,"적극성, 강견, 배드볼히터, 배럴 히터, 선구안, 타격 전략, 1번, 3번, 변화구 공략, 번트, 클린업, 컨택터, 직구 공략, 갭 히터, 그린라이트, 하이볼 히터, 대응력, 로우볼 히터, 외야 수비, 펀치력, 슬랩 히터, 스피드스터, 테이블세터, VS 우투","1차 지명, 휘문고 출신, 야구인2세, 넥벤져스19, 히어로즈, 디그니티",LF=374 CF=422 RF=401
홍현우,DGN,6,kia,,0,"[""B3"",""B2"",""B1""]",R,R,O,3102,586,469,453,529,477,32,79,477,위엄,"배럴 히터, 선구안, 타격 전략, 3번, 4번, 번트, 클린업, 직구 공략, 갭 히터, 그린라이트, 게스히팅, 대응력, 내야 수비, 로우볼 히터, OPS형 타자, 파워, 펀치력, 변칙타순, 작전 수행, VS 좌투, VS 우투, VS 언더","해태왕조 주역(타자), 광주동성고 출신, 해태/KIA, 트레이드, 디그니티",B1=368 B2=406 B3=477
양준혁,DGN,6,samsung,,0,"[""RF"",""B1"",""LF""]",L,L,O,3079,567,472,547,504,447,27,92,423,위엄,"강견, 배럴 히터, 선구안, 타격 전략, 3번, 4번, 5번, 변화구 공략, 클린업, 컨택터, 지명타자, 직구 공략, 갭 히터, 그린라이트, 하이볼 히터, 대응력, 로우볼 히터, OPS형 타자, 외야 수비, 파워, 펀치력, 변칙타순, 슬랩 히터, 스피드스터, VS 좌투, VS 우투, VS 언더","거액 계약 (타자), 1차 지명, FA, 신, 대구상원고 출신, 이마양 트리오, 삼성 라이온즈, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 디그니티, 영남대 출신",B1=351 LF=389 RF=423
박건우,DGN,6,doosan,,0,"[""RF"",""CF"",""LF""]",R,R,O,3051,657,511,470,416,480,42,58,417,위엄,"적극성, 배드볼히터, 배럴 히터, 선구안, 타격 전략, 1번, 2번, 3번, 변화구 공략, 클린업, 컨택터, 직구 공략, 갭 히터, 그린라이트, 대응력, 로우볼 히터, 외야 수비, 펀치력, 슬랩 히터, 스피드스터, 테이블세터, VS 좌투, VS 우투","2008 청소년대표팀, 90베어스, 서울고 출신, 동명이인57, OB/두산, 디그니티",LF=390 CF=390 RF=417
류지현,DGN,6,lg,,0,"[""SS"",""B2""]",R,R,O,3050,642,402,436,458,483,40,100,489,위엄,"배럴 히터, 선구안, 타격 전략, 1번, 2번, 변화구 공략, 번트, 컨택터, 갭 히터, 그린라이트, 대응력, 내야 수비, 로우볼 히터, 작전 수행, 슬랩 히터, 스피드스터, 테이블세터, VS 좌투, VS 우투, VS 언더","1차 지명, FA, 충암고 출신, 신바람야구, 봉황대기 MVP, MBC/LG, 통산 200도루 클럽, 디그니티, 한양대 출신",B2=424 SS=489
최정,DGN,6,ssg,,0,"[""B3"",""B1""]",R,R,O,3039,539,468,543,451,413,34,81,510,위엄,"적극성, 배럴 히터, 선구안, 타격 전략, 3번, 5번, 8번, 변화구 공략, 클린업, 직구 공략, 공갈포, 갭 히터, 그린라이트, 게스히팅, 대응력, 내야 수비, 로우볼 히터, OPS형 타자, 파워, 펀치력, 변칙타순, 작전 수행, 스피드스터, 하위타선, VS 좌투, VS 우투","거액 계약 (타자), 형제2, 1차 지명, SK왕조 주역, FA, 유신고 출신, 홈런공장, 이영민 타격상, SK/SSG, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 디그니티",B1=374 B3=510
장종훈,DGN,6,hanwha,,0,"[""B1"",""SS""]",R,R,O,3029,588,437,599,494,417,32,62,400,위엄,"배럴 히터, 선구안, 타격 전략, 3번, 4번, 6번, 7번, 8번, 클린업, 지명타자, 직구 공략, 공갈포, 갭 히터, 그린라이트, 게스히팅, 대응력, 로우볼 히터, OPS형 타자, 파워, 펀치력, 변칙타순, 작전 수행, 스피드스터, 하위타선, VS 좌투, VS 우투, VS 언더","원조 다이너마이트, FA, 세광고 출신, 빙그레/한화, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽, 통산 1500안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 연습생 신화, 디그니티",B1=400 SS=380
이대호,DGN,6,lotte,,0,"[""B1"",""B3""]",R,R,O,3011,641,363,637,451,458,20,51,390,위엄,"적극성, 배드볼히터, 배럴 히터, 선구안, 타격 전략, 3번, 4번, 5번, 6번, 변화구 공략, 클린업, 지명타자, 직구 공략, 갭 히터, 대응력, 내야 수비, 로우볼 히터, OPS형 타자, 파워, 펀치력, VS 좌투, VS 우투, VS 언더","2000 청소년대표팀, FA, 거인군단, 황금세대 1982, 경남고 출신, 조홍대갈, 롯데 자이언츠, 통산 1000타점 클럽, 통산 1500경기 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 디그니티",B1=390 B3=433
박재홍,DGN,6,hyundai,,0,"[""CF"",""RF""]",R,R,O,2981,541,476,547,447,462,33,64,411,위엄,"강견, 선구안, 타격 전략, 3번, 4번, 클린업, 직구 공략, 갭 히터, 그린라이트, 게스히팅, 대응력, 로우볼 히터, OPS형 타자, 외야 수비, 파워, 스피드스터, VS 좌투, VS 우투, VS 언더","거액 계약 (타자), 실업야구 출신, 1차 지명, 현대왕조 주역, 전설의 92학번, 광주일고 출신, 삼청태현, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽, 통산 1500안타 클럽, 통산 200도루 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 디그니티, 연세대 출신",CF=411 RF=431
강백호,DGN,6,kt,,0,"[""B1"",""RF"",""LF""]",L,R,O,2965,617,476,423,491,465,32,84,377,위엄,"적극성, 배럴 히터, 선구안, 타격 전략, 1번, 3번, 4번, 변화구 공략, 번트, 클린업, 지명타자, 직구 공략, 공갈포, 갭 히터, 하이볼 히터, 대응력, 내야 수비, OPS형 타자, 펀치력, 변칙타순, 스피드스터, 테이블세터, VS 우투, VS 언더","거액 계약 (타자), 서울고 출신, 대통령배 MVP, KT 위즈, 디그니티",B1=377 LF=365 RF=369
박노준,DGN,6,sbw,,0,"[""LF"",""CF""]",L,L,O,2946,667,419,346,425,530,36,101,422,위엄,"적극성, 강견, 배드볼히터, 타격 전략, 1번, 3번, 4번, 변화구 공략, 번트, 컨택터, 갭 히터, 그린라이트, 대응력, 외야 수비, 변칙타순, 작전 수행, 슬랩 히터, 스피드스터, 테이블세터, VS 우투, VS 언더","1982 국가대표팀, 거액 계약 (타자), 청룡기 MVP, 1차 지명, 선린인터넷고 출신, 대통령배 MVP, 돌격대(타자), 쌍방울 레이더스, 트레이드, 디그니티, 고려대 출신",LF=422 CF=389
