name,grade,rarity,team,year,month,position,battingHand,throwHand,pitchingType,power,movement,longHitSuppression,homeRunSuppression,control,stuff,pitchLimit,runnerControl,defense,enhancedSkill,skill,synergy
선동열,TOP,5,kia,"[1986,1988,1990]",0,"[""SP""]",R,R,O,2313,456,294,300,361,477,103,21,301,지배력,"투피치, 위기관리, 완급, 이닝이팅, 에이스, 그라운드볼러, 슬라이더, 정면승부, 묵직함, 주자 억제, 컨트롤러","해태/KIA, 탑클래스, 1차 지명, 광주일고 출신, 대통령배 MVP, 고려대 출신, 거액 계약 (투수), 해태왕조 주역(투수), 1982 국가대표팀, 실업야구 출신, 투수 라이벌2, 통산 100승 클럽, 통산 100세이브 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
오승환,TOP,5,samsung,"[2005,2006,2011]",0,"[""RP""]",R,R,O,2243,488,276,257,367,508,20,17,310,지배력,"클로저, 주자 억제, 위기관리, 슬라이더, 정면승부, 투피치, 컨트롤러, 파이어볼러, 플라이볼피쳐, 믿을맨, 완급, 라이징 무브먼트, 묵직함, 롱맨, 셋업","JOKKA 라인, 황금세대 1982, 경기고 출신, 삼성 라이온즈, 탑클래스, 단국대 출신, 배터리2, FA, 통산 700경기 클럽, 통산 100세이브 클럽"
최동원,TOP,5,lotte,"[1984,1985,1986]",0,"[""SP""]",R,R,O,2141,424,278,261,367,387,105,16,303,지배력,"위기관리, 완급, 이닝이팅, 팔색조, 에이스, 커브, 묵직함, 정면승부, 주자 억제, 컨트롤러","롯데 자이언츠, 탑클래스, 거액 계약 (투수), 1차 지명, 경남고 출신, 연세대 출신, 1982 국가대표팀, 실업야구 출신, 안경에이스, 투수 라이벌2, 통산 100승 클럽, 통산 1000탈삼진 클럽"
안우진,TOP,5,kiwoom,"[2021,2022,2023]",0,"[""SP""]",R,R,O,2124,447,233,257,333,430,95,18,311,지배력,"커브, 라이징 무브먼트, 타자 집중, 팔색조, 체인지업, 완급, 슬라이더, 와일드씽, 더티 무브먼트, 파이어볼러, 정면승부, 묵직함, 컨트롤러, 이닝이팅, 에이스, VS 우타, 원투펀치","탑클래스, 히어로즈, 거액 계약 (투수), 1차 지명, 휘문고 출신, 봉황대기 MVP"
정민철,TOP,5,hanwha,"[1992,1994,1997]",0,"[""SP""]",R,R,O,2120,442,264,257,365,357,113,15,307,지배력,"위기관리, 에이스, 정면승부, 투피치, 팔색조, 컨트롤러, VS 좌타, 이닝이팅, 플라이볼피쳐, 완급, 파이어볼러, 라이징 무브먼트, 묵직함, 체인지업, VS 우타, 커브","빙그레/한화, 탑클래스, 대전고 출신, 투수 라이벌1, 전설의 92학번, FA, 통산 100승-100패 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
류현진,TOP,5,hanwha,"[2006,2007,2010]",0,"[""SP""]",R,L,O,2104,415,259,240,359,388,111,17,315,지배력,"주자 억제, 위기관리, 로케이션, 에이스, 정면승부, 컨트롤러, 그라운드볼러, 파이어볼러, 이닝이팅, 체인지업, 완급, 라이징 무브먼트, 묵직함, 타자 집중","빙그레/한화, 탑클래스, 동산고 출신, 황금세대 1987, FA, 통산 1000탈삼진 클럽, 통산 100승 클럽"
이상훈,TOP,5,lg,"[1993,1994,1995]",0,"[""SP""]",L,L,O,2103,453,277,244,351,337,107,21,313,지배력,"주자 억제, 위기관리, 슬라이더, 로케이션, 에이스, 와일드씽, 정면승부, 컨트롤러, VS 좌타, 파이어볼러, 이닝이팅, 완급, 플라이볼피쳐, 라이징 무브먼트, VS 우타","MBC/LG, 탑클래스, 1차 지명, 서울고 출신, 동명이인19, 고려대 출신, 거액 계약 (투수)"
김상진,TOP,5,doosan,"[1993,1994,1995]",0,"[""SP""]",R,R,O,2091,392,294,278,372,338,107,14,296,지배력,"위기관리, 슬라이더, 에이스, 정면승부, 컨트롤러, VS 좌타, 이닝이팅, 완급, 라이징 무브먼트, 묵직함, VS 우타, 타자 집중","OB/두산, 탑클래스, 연습생 신화, 통산 100승-100패 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
박철순,TOP,5,ob,"[1982,1993,1994]",0,"[""SP""]",R,R,O,2072,432,286,278,351,309,99,16,301,지배력,"VS 좌타, 파이어볼러, 위기관리, 완급, VS 우타, 이닝이팅, 팔색조, 로케이션, 에이스, 묵직함, 커브, 정면승부, 와일드씽, 원투펀치, 컨트롤러, 라이징 무브먼트, 타자 집중, 플라이볼피쳐","OB/두산, 탑클래스, 배명고 출신, 연세대 출신"
이강철,TOP,5,kia,"[1990,1991,1998]",0,"[""SP""]",R,R,U,2072,450,267,197,352,366,119,11,310,지배력,"정면승부, 이닝이팅, 더티 무브먼트, 라이징 무브먼트, 팔색조, 플라이볼피쳐, 싱커, 컨트롤러, 원투펀치, 커브, 셋 포지션, VS 좌타, VS 우타, 타자 집중, 완급","탑클래스, 해태/KIA, 1차 지명, 해태왕조 주역(투수), 광주일고 출신, FA, 동국대 출신, 통산 500경기 클럽, 통산 100승-100패 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽, 트레이드"
김시진,TOP,5,samsung,"[1983,1985,1987]",0,"[""SP""]",R,R,O,2058,421,297,270,278,353,113,21,305,지배력,"라이징 무브먼트, 위기관리, 완급, 이닝이팅, 에이스, 묵직함, 슬라이더, 정면승부, 타자 집중, 주자 억제","삼성 라이온즈, 탑클래스, 거액 계약 (투수), 1차 지명, 대구상원고 출신, 한양대 출신, 1982 국가대표팀, 배터리4, 실업야구 출신, 원투펀치4, 통산 100승 클럽, 통산 1500이닝 클럽"
김광현,TOP,5,sk,"[2010,2019,2022]",0,"[""SP""]",L,L,O,2055,384,298,244,348,364,99,12,306,지배력,"위기관리, 슬라이더, 에이스, 정면승부, 와일드씽, 더티 무브먼트, 팔색조, 그라운드볼러, 컨트롤러, 파이어볼러, 이닝이팅, 완급, 스플리터, 묵직함, 커브","1차 지명, 거액 계약 (투수), 안산공고 출신, SK/SSG, 탑클래스, 원투펀치2, FA, 통산 1500이닝 클럽, 통산 100승 클럽, 통산 1000탈삼진 클럽, 동명이인71"
조계현,TOP,5,kia,"[1993,1994,1996]",0,"[""SP""]",R,R,O,2050,423,280,249,369,299,107,15,308,지배력,"위기관리, 슬라이더, 맞춰잡기, 에이스, 팔색조, 컨트롤러, 그라운드볼러, VS 좌타, 이닝이팅, 변칙투구, 완급, 싱커, VS 우타, 커브","해태/KIA, 탑클래스, 청룡기 MVP, 1차 지명, 군산상고 출신, 연세대 출신, 통산 100승 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽, 해태왕조 주역(투수), 실업야구 출신"
박희수,TOP,5,ssg,"[2011,2012,2013]",0,"[""RP""]",L,L,O,2046,440,285,261,296,415,20,19,310,지배력,"정면승부, 묵직함, 그라운드볼러, 체인지업, 완급, 주자 억제, 롱맨, 위기관리, 믿을맨, 팔색조, 로케이션, 셋업, 컨트롤러, VS 좌타","탑클래스, SK/SSG, 대전고 출신, 동국대 출신"
조규제,TOP,5,sbw,"[1991,1993,1994]",0,"[""RP""]",L,L,O,2044,469,275,244,285,406,36,19,310,지배력,"클로저, 주자 억제, 로케이션, 정면승부, 팔색조, 컨트롤러, VS 좌타, 플라이볼피쳐, 믿을맨, 완급, 싱커, 라이징 무브먼트, 묵직함, 롱맨, VS 우타, 커브","쌍방울 레이더스, 탑클래스, 1차 지명, 군산상고 출신, 연세대 출신, 통산 500경기 클럽, 통산 100세이브 클럽, 돌격대(투수)"
최창호,TOP,5,hyundai,"[1989,1990,1991]",0,"[""SP""]",L,L,O,2042,442,263,244,310,356,101,23,303,지배력,"정면승부, 이닝이팅, 라이징 무브먼트, 주자 억제, 플라이볼피쳐, 슬라이더, 묵직함, 완급, 원투펀치, 더티 무브먼트, 커브, 컨트롤러, VS 좌타, VS 우타, 로케이션, 에이스","삼청태현, 탑클래스, 경북고 출신, 통산 500경기 클럽, 통산 1000탈삼진 클럽, 태평양삼총사"
한용덕,TOP,5,hanwha,"[1990,1991,1992]",0,"[""SP""]",R,R,O,2042,439,248,240,360,304,120,26,305,지배력,"라이징 무브먼트, 주자 억제, 팔색조, 완급, 컨트롤러, 에이스, 커브, 체인지업, 이닝이팅, VS 좌타, 플라이볼피쳐, VS 우타, 위기관리, 원투펀치","탑클래스, 빙그레/한화, 북일고 출신, 연습생 신화, 동아대 출신, 통산 100승-100패 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
켈리,TOP,5,lg,"[2020,2021,2022]",0,"[""SP""]",R,R,O,2038,405,284,236,359,331,96,14,313,지배력,"위기관리, 슬라이더, 맞춰잡기, 로케이션, 에이스, 정면승부, 와일드씽, 팔색조, 컨트롤러, 파이어볼러, 완급, 싱커, 묵직함, 타자 집중, 커브","MBC/LG, 탑클래스, 외국인"
구대성,TOP,5,hanwha,"[1996,1999,2000]",0,"[""RP""]",L,L,O,2036,444,270,210,314,437,32,18,311,지배력,"라이징 무브먼트, 컨트롤러, 체인지업, 롱맨, 완급, 슬라이더, VS 좌타, VS 우타, 파이어볼러, 클로저, 정면승부, 믿을맨, 타자 집중, 로케이션, 플라이볼피쳐, 와일드씽","탑클래스, 빙그레/한화, 1차 지명, 대전고 출신, 한양대 출신, 거액 계약 (투수), 통산 500경기 클럽, 통산 100세이브 클럽, 통산 1000탈삼진 클럽, 형제12"
주형광,TOP,5,lotte,"[1995,1996,1999]",0,"[""SP""]",L,L,O,2033,413,230,193,381,371,110,19,316,지배력,"주자 억제, 슬라이더, 에이스, 더티 무브먼트, 정면승부, 원투펀치, 컨트롤러, VS 좌타, 이닝이팅, 플라이볼피쳐, 완급, 파이어볼러, 라이징 무브먼트, VS 우타","롯데 자이언츠, 탑클래스, 부산고 출신, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
박명환,TOP,5,doosan,"[1998,2002,2004]",0,"[""SP""]",R,R,O,2033,410,272,266,285,371,104,11,314,지배력,"위기관리, 묵직함, 타자 집중, 완급, 슬라이더, 이닝이팅, VS 좌타, VS 우타, 와일드씽, 파이어볼러, 로케이션, 정면승부, 에이스, 컨트롤러, 그라운드볼러","탑클래스, OB/두산, 거액 계약 (투수), 충암고 출신, 봉황대기 MVP, 통산 100승 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
김수경,TOP,5,hyundai,"[1998,1999,2000]",0,"[""SP""]",R,R,O,2030,434,256,240,280,370,117,20,313,지배력,"라이징 무브먼트, 묵직함, 슬라이더, 이닝이팅, VS 좌타, 플라이볼피쳐, VS 우타, 로케이션, 정면승부, 위기관리, 타자 집중, 완급, 원투펀치","탑클래스, 삼청태현, 인천고 출신, 통산 100승 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽, 투수왕국, FA"
니퍼트,TOP,5,doosan,"[2011,2014,2016]",0,"[""SP""]",R,R,O,2029,408,287,236,329,339,103,14,313,지배력,"위기관리, 슬라이더, 에이스, 정면승부, 와일드씽, 팔색조, 컨트롤러, 파이어볼러, 이닝이팅, 플라이볼피쳐, 체인지업, 완급, 라이징 무브먼트, 묵직함, 타자 집중, 커브","OB/두산, 탑클래스, 배터리1, 판타스틱4, 외국인, 통산 100승 클럽, 통산 1000탈삼진 클럽"
정재훈,TOP,5,doosan,"[2005,2006,2010]",0,"[""RP""]",R,R,O,2029,444,284,261,281,422,18,9,310,지배력,"클로저, 주자 억제, 슬라이더, 로케이션, 정면승부, 셋업, 컨트롤러, 믿을맨, 플라이볼피쳐, 스플리터, 완급, 라이징 무브먼트, 묵직함, 롱맨, 타자 집중","OB/두산, 탑클래스, 휘문고 출신, 2차 드래프트, 성균관대 출신, FA, 통산 500경기 클럽, 통산 100세이브 클럽, 동명이인46"
